scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,ood_case
S5,1,Delay-Greedy,0.3491577001620614,0.8498380988146743,1.9335118554789403,0.07277179035525694,0.64,0.36,0.12749827942069614,0.9971863420462913,0.002813657953708839,1.031325072121904,0.9767263540407133,0.6008371627897418,0.32129562030982556,0.15436390578288361,0.92,0.007408399949781597,1,1,0.8528264714447418,0.6577963966728132,0.002813657953708839,0.13291137726127672,0.023273645959286715,strong_server_heterogeneity
S5,2,RFOTO-ABC,0.36250537274307004,0.9048884623389749,2.2227609719896573,0.08812309306722724,0.72,0.28,0.1677797075881216,0.9983437663584025,0.0016562336415976325,1.0234118889425676,0.9680971512864375,0.50812914862754,0.2039010231192269,0.18153286469208463,0.6533333333333333,0.9950833000475541,350,1,0.8409958019801573,0.6897443538990484,0.0016562336415976325,0.17471238051127833,0.031902848713562526,strong_server_heterogeneity
S5,2,Standard-ABC,0.7666830542853906,1.6924046995138822,4.493910131450281,0.14851130139198881,0.26,0.74,0.7546329325480975,0.9978985350731447,0.0021014649268553108,1.1011208141425943,0.8770745848426027,0.27877804407580553,0.2039010231192269,0.37437132677280827,0.22666666666666666,1.0961546000326052,350,1,1.6518863487895419,0.928265072939134,0.0021014649268553108,0.7824504035526177,0.1229254151573973,strong_server_heterogeneity
S5,2,Delay-Greedy,0.4124638011384769,0.986579506482053,2.608333212383121,0.09264614597108994,0.6066666666666667,0.3933333333333333,0.1965529928701661,0.9972072130891566,0.0027927869108434287,1.0264364710855673,0.9620538984869509,0.4668026727795215,0.2735647189136281,0.19860212004135971,0.8933333333333333,0.008518500020727515,1,1,0.9012685198725476,0.8929787080400229,0.0027927869108434287,0.18779756942084203,0.03794610151304911,strong_server_heterogeneity
S5,3,RFOTO-ABC,0.3743228625327818,0.8992437277247808,1.9278122958375636,0.10157893827320907,0.6466666666666666,0.35333333333333333,0.16877044102949704,0.9974719288502698,0.00252807114973018,1.0304278648928238,0.967422201628296,0.5226104391441597,0.2806001473554888,0.18350708671237562,0.64,1.1077500000828877,350,1,0.8589245086126087,0.7627228456613079,0.00252807114973018,0.1591640981789272,0.03257779837170405,strong_server_heterogeneity
S5,3,Standard-ABC,0.7475095212760925,1.6533914556683413,4.225499527982478,0.20293253223640215,0.3466666666666667,0.6533333333333333,0.7415214063907818,0.9955538298391082,0.004446170160891951,1.1560383412249673,0.8696344709153104,0.3007363374807343,0.13795566128502368,0.3871800866626717,0.22666666666666666,1.057383600040339,350,1,1.5779626067917294,1.0305828720856993,0.004446170160891951,0.7119495014816934,0.13036552908468957,strong_server_heterogeneity
S5,3,Delay-Greedy,0.4343398641263638,1.033957137706999,2.2737517432538277,0.10726356683962399,0.5066666666666667,0.49333333333333335,0.2140778854600132,0.9969677459060597,0.0030322540939403194,1.031257002738685,0.9611584280234788,0.523525016881357,0.3122224335792302,0.2010253883793155,0.9266666666666666,0.006314700003713369,1,1,0.925726594821229,1.0140605501465674,0.0030322540939403194,0.17746578513522066,0.03884157197652116,strong_server_heterogeneity
S5,4,RFOTO-ABC,0.33958478589272917,0.8572013925415941,1.9445496074651372,0.09111047868505533,0.7066666666666667,0.29333333333333333,0.13282837166105702,0.9978206651351741,0.002179334864825962,1.0323666626718193,0.9727341382034664,0.5361092850161409,0.35567020280401473,0.16742200385761327,0.68,0.9851961000822484,350,1,0.7789322877332088,0.7268544885881952,0.002179334864825962,0.1251911777150098,0.027265861796533564,strong_server_heterogeneity
S5,4,Standard-ABC,0.7356856669254049,1.7032496319639683,4.229503663500235,0.16133651923878148,0.2866666666666667,0.7133333333333334,0.726277676642602,0.9968592129265513,0.0031407870734487496,1.094609787907554,0.878761243375021,0.30450517298741825,0.19590166603191733,0.3714371082418213,0.20666666666666667,1.0895093999570236,350,1,1.597945975358443,0.9126510596607494,0.0031407870734487496,0.7219501729129802,0.12123875662497896,strong_server_heterogeneity
S5,4,Delay-Greedy,0.3829426350762591,0.9772167939610483,2.1279981121662255,0.0934644691488948,0.5866666666666667,0.41333333333333333,0.19018259599375267,0.9976758189134393,0.0023241810865608117,1.0308849854756654,0.9643333942931286,0.5236271615040203,0.31066624792514724,0.19231682793732513,0.9066666666666666,0.007735099992714822,1,1,0.8635990843864296,0.8057910874888521,0.0023241810865608117,0.16143749513192412,0.03566660570687141,strong_server_heterogeneity
