scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,diagnostic,assigned_tasks,active_server_count,assignment_entropy,task_count_cv,bandwidth_util_cv,cpu_util_cv,bandwidth_share_cv,cpu_share_cv,bandwidth_util_mean,cpu_util_mean
S4,15,RFOTO-ABC,0.3408692683047667,0.6528909901759654,2.132815437408187,0.08210470762859037,0.85,0.15,0.10880689949402023,0.9992258773749519,0.0007741226250478971,1.01339289442243,0.9765801837291108,0.5714671548909596,0.27246530166291577,0.1548594769519498,0.83,0.37703399999736575,400,1,0.6709493500199039,0.9114984530338637,0.0007741226250478971,0.1309574635162732,0.023419816270889182,resource_skew,83.0,8.0,0.993340295597358,0.16650933688054523,1.3597399555105182e-16,1.3597399555105182e-16,0.7313898450465972,0.7090498302142696,1.0,1.0
S4,15,RFOTO-ABC-D,0.3107783285582662,0.5507324929250799,1.319744916822943,0.07094206284983756,0.87,0.13,0.0897405985601727,0.998921979793774,0.001078020206225998,1.0129321371991051,0.9809561375009386,0.6194131455388074,0.27246530166291577,0.1393325945096969,0.84,0.25725599999714177,400,1,0.6593918824019184,0.7451969309661121,0.001078020206225998,0.12431453958706157,0.019043862499061426,resource_skew,84.0,8.0,0.9888609292119868,0.21295885499998,1.2412670766236368e-16,1.1102230246251565e-16,6.845567816934671e-17,9.298324584960939e-17,0.9999999999999999,1.0
S4,16,RFOTO-ABC,0.25474859203394384,0.6076300084190633,1.3613182725511936,0.07286339066477417,0.88,0.12,0.06625211968262239,0.9985856204830631,0.0014143795169368133,1.0208617948619323,0.9856503491536582,0.6830525532158905,0.39293344601764685,0.12065886256371369,0.79,0.38026089999766555,400,1,0.5424754399387715,0.6979943040805752,0.0014143795169368133,0.0479810516273044,0.014349650846341766,resource_skew,79.0,8.0,0.9928524302530939,0.16358035421924158,5.551115123125783e-17,1.5700924586837752e-16,0.6353489172517868,0.654258729027555,1.0,1.0
S4,16,RFOTO-ABC-D,0.2357377951228198,0.5122480353348725,0.8972465944500675,0.06143134791269196,0.92,0.08,0.05883195144772188,0.9968750924391706,0.003124907560829323,1.027221053040957,0.9863436673949958,0.679084539696637,0.39293344601764685,0.11766652085790043,0.8,0.26352910000423435,400,1,0.5260351630321121,0.6049962638658202,0.003124907560829323,0.0432245335280092,0.013656332605004207,resource_skew,80.0,8.0,0.9920658010471917,0.17320508075688773,1.2412670766236366e-16,3.925231146709438e-17,4.517406533094853e-17,9.298324584960939e-17,1.0,1.0
S4,17,RFOTO-ABC,0.2410745143162221,0.5494637330429143,1.2475564433081199,0.05857666639667152,0.91,0.09,0.041915621581956934,0.997558890474126,0.0024411095258739424,1.0244022016243213,0.9903684745343969,0.832353718306516,0.43041773806224726,0.09861639781743718,0.9,1.1740696000051685,400,1,0.5196585473716845,0.6545986610673861,0.0024411095258739424,0.0441485103527113,0.009631525465603086,resource_skew,90.0,8.0,0.9967627652274981,0.11547005383792516,2.4196749845665633e-16,1.1775693440128312e-16,0.604554497386082,0.6158219167102051,1.0,1.0
S4,17,RFOTO-ABC-D,0.21193681101587822,0.4523117701100674,1.0825803269335361,0.04898342497558722,0.95,0.05,0.022919843451295104,0.9974077893533289,0.002592210646671056,1.02561253062257,0.9946287145369007,0.9497154133348037,0.4751583566846588,0.07348667888039058,0.91,0.7792380000028061,400,1,0.5093719442036644,0.49966181869239645,0.002592210646671056,0.03328166884921426,0.0053712854630992846,resource_skew,91.0,8.0,0.9971941880721131,0.10710763016273586,1.1775693440128312e-16,3.925231146709438e-17,7.667108491529706e-17,1.1920928955078126e-16,1.0,1.0
S4,18,RFOTO-ABC,0.2664028085686305,0.7034342728741314,1.3535878504412453,0.08013642486125189,0.88,0.12,0.10939088266048666,0.9967384130553393,0.003261586944660806,1.0318199722829213,0.9778758881434891,0.6209046970412541,0.21666221744623226,0.15041496740210122,0.87,1.1560326000035275,400,1,0.5829431730976026,0.6460924920083716,0.003261586944660806,0.07912882930226152,0.022124111856510864,resource_skew,87.0,8.0,0.9967446441382427,0.11665392603554275,1.1775693440128312e-16,1.2412670766236366e-16,0.6233136408512535,0.593184039108468,1.0,1.0
S4,18,RFOTO-ABC-D,0.24938221566336802,0.6405870671805985,1.5255317875927987,0.07285699730594318,0.88,0.12,0.1171005877410533,0.996664767491173,0.003335232508826935,1.026288235445011,0.9761050063712914,0.5601100226697968,0.21666221744623226,0.15646067134958602,0.86,0.7863040000011097,400,1,0.5939583551999122,0.5008957978497122,0.003335232508826935,0.08602784655944584,0.023894993628708616,resource_skew,86.0,8.0,0.9959805923314993,0.1294828921588377,1.415262216750919e-16,5.551115123125783e-17,7.044400768946968e-17,5.483627319335938e-17,1.0,1.0
S4,19,RFOTO-ABC,0.26955535224887683,0.6068580033620404,1.2436331070334419,0.07643280114147384,0.93,0.07,0.053991929273478796,0.9984066024948369,0.0015933975051630011,1.0180258136729325,0.9884584012258133,0.8163133310712637,0.30056737274660006,0.10805721941283557,0.84,1.2682310000018333,400,1,0.5835786100504072,0.6764337055186455,0.0015933975051630011,0.08058289836527045,0.011541598774186701,resource_skew,84.0,8.0,0.9945344416654871,0.15058465048420855,2.0396099332657776e-16,1.7554167342883509e-16,0.5873339297086426,0.630721828313253,1.0,0.9999999999999999
S4,19,RFOTO-ABC-D,0.22998999480532623,0.5159508864948672,1.1270173243612311,0.07057174038043718,0.94,0.06,0.032207924329428414,0.9982612105393446,0.0017387894606554011,1.0193987721661584,0.9937864920077565,0.9154449379995828,0.30056737274660006,0.07907184747319099,0.85,0.8516999999992549,400,1,0.5311479389304242,0.5765569653979525,0.0017387894606554011,0.037758724688238765,0.006213507992243517,resource_skew,85.0,8.0,0.9942772939361244,0.15563243006262298,1.2412670766236366e-16,3.925231146709438e-17,9.005517087095952e-17,1.4305114746093753e-17,1.0,1.0
