scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,bandwidth_scale,cpu_scale
S3,0,RFOTO-ABC,0.5012123328968363,1.2886903113663721,2.647719169320539,0.14765523349972123,0.4,0.6,0.4109878315839336,0.998732857043196,0.0012671429568039782,1.0173994138216456,0.9263650582559703,0.42118379372467035,0.31111056854480124,0.28193623189370653,0.59,0.5666490000439808,280,1,1.0800025056636295,0.9826092052086737,0.0012671429568039782,0.2900866233866507,0.07363494174402974,0.75,0.5
S3,1,RFOTO-ABC,0.4418169673641599,0.9697781346849051,1.852269889263716,0.125463059005352,0.53,0.47,0.21314432990750692,0.9995701559668103,0.0004298440331897524,1.0068031286847101,0.961633393747071,0.5184458371935631,0.31958408901372876,0.19974316373678727,0.52,0.5609851999906823,280,1,1.0069988219552435,0.8661364518043599,0.0004298440331897524,0.21722333744047082,0.03836660625292898,0.75,0.5
S3,2,RFOTO-ABC,0.4566041949348496,1.1050508319969121,2.4442695559783125,0.12462476786980733,0.51,0.49,0.28774955570214233,0.9987732490118876,0.0012267509881123274,1.0127778959633882,0.945731341070099,0.4340226216287285,0.2960964668047695,0.23954695461094222,0.51,0.5597733000759035,280,1,1.0051814240844128,0.9146656931605225,0.0012267509881123274,0.2388933436102419,0.05426865892990096,0.75,0.5
S3,3,RFOTO-ABC,0.4148629359650082,0.9452288472070147,2.0303489322019472,0.10978562926937356,0.55,0.45,0.1979135105797531,0.9986317485770887,0.0013682514229112497,1.009551378476414,0.9654146709005019,0.5378148137362838,0.3146223577246927,0.18927314964214723,0.54,0.5322272999910638,280,1,0.9825729048991226,0.7798655505953974,0.0013682514229112497,0.18711371000564364,0.034585329099498074,0.75,0.5
S3,4,RFOTO-ABC,0.4263996242116524,1.1144734894331882,2.4865491156578763,0.11573069860257643,0.47,0.53,0.2435108133159945,0.9987278202064797,0.001272179793520526,1.011321744708156,0.9587749455077825,0.5613039510414921,0.3235932275063516,0.2073587092689137,0.61,0.6218890000600368,280,1,0.9564401292250143,0.8880572186420262,0.001272179793520526,0.19057125990623286,0.04122505449221747,0.75,0.5
S3,5,RFOTO-ABC,0.43713369896924775,0.8584359331736764,1.8737609175822145,0.10379627098972534,0.58,0.42,0.1824385077131294,0.9992956909306091,0.0007043090693909737,1.0281105621163598,0.9660365339933058,0.5053900156361367,0.36402856783224974,0.18750343423063873,0.51,0.5688640000298619,280,1,0.9836468154085176,0.8833309715869129,0.0007043090693909737,0.21394787065679657,0.0339634660066942,0.75,0.5
S3,6,RFOTO-ABC,0.4132603370031018,1.1374538165381052,2.1704966279753055,0.14972909365720471,0.51,0.49,0.23203066809576545,0.9997257811942165,0.000274218805783536,1.0187274659994647,0.9600842918591485,0.5640539560985307,0.3215072885602193,0.20390000533585456,0.57,0.5633429000154138,280,1,0.9399424269956749,0.8754215554010857,0.000274218805783536,0.16367718784694316,0.03991570814085155,0.75,0.5
S3,7,RFOTO-ABC,0.40203233464931887,1.166937223542396,2.3061801864814875,0.11119083529697628,0.42,0.58,0.2620626363202499,0.9985468878109,0.0014531121890999853,1.0148300309142129,0.9554481166004185,0.49089124429118425,0.2959343269603696,0.2159382014395865,0.61,0.6076003999914974,280,1,0.9560539626546343,0.7231296902639851,0.0014531121890999853,0.19030394199322131,0.04455188339958149,0.75,0.5
S3,0,RFOTO-ABC,0.4607475140925211,1.172551109114651,2.60835462471479,0.15715492555247332,0.43,0.57,0.3180411256545445,0.9987797648719888,0.0012202351280112423,1.0183689757839138,0.9423500879073295,0.4542081258621423,0.31111056854480124,0.24733933397082208,0.68,0.5259904999984428,280,1,0.9492632482401598,1.091754651527889,0.0012202351280112423,0.20310788185518006,0.05764991209267045,0.75,0.75
S3,1,RFOTO-ABC,0.4140457857475345,0.8735103919087384,1.832309053300593,0.12154205347096125,0.65,0.35,0.16640744733617288,0.9996667156025477,0.0003332843974522548,1.0057283516571933,0.9672911444578673,0.5184458371935631,0.31958408901372876,0.18388828754578235,0.58,0.5730437999591231,280,1,0.9248889898872699,0.8664310191306847,0.0003332843974522548,0.19154360078121602,0.03270885554213265,0.75,0.75
