scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,budget,comparison_suite
S3,0,GA,0.5663480169559202,1.1779111060014926,3.0915419415191345,0.11951438472815216,0.47,0.53,0.42208064233913556,0.9980960894655881,0.0019039105344117924,1.0455774752667928,0.9176529296004964,0.36606181435422264,0.3046878179925488,0.2995607083702827,0.39,0.7377720999647863,320,1,1.2550213193932545,0.8715466144540952,0.0019039105344117924,0.43651140909073777,0.08234707039950362,320,advanced
S3,0,PSO,0.9265267165854203,1.6400531868460073,3.4148154979611385,0.17431975802398333,0.25,0.75,0.882599722501296,0.9995741770397215,0.0004258229602783148,1.0276323153132891,0.8630276721767968,0.30119202498730047,0.11452407968526318,0.3983859904333089,0.25,0.7951050000265241,320,1,1.8329735044612843,1.474655102703767,0.0004258229602783148,0.905816245195992,0.13697232782320323,320,advanced
S3,0,DE,1.544188258882278,2.9348701513734112,10.243257068049603,0.3193685702544584,0.2,0.8,1.9407169500510975,0.9984009803790823,0.0015990196209177876,1.0638581020539544,0.7865507344277044,0.11464243383642189,0.03908072907375652,0.5209355093773198,0.27,0.6793393000261858,320,1,2.5767460666634743,3.0150866937746024,0.0015990196209177876,1.661606177560764,0.2134492655722956,320,advanced
S3,0,Gbest-ABC,0.3597574968562336,0.693238511236527,1.5068411194542999,0.08418461990395004,0.78,0.22,0.12294374310948954,0.9994581783948844,0.0005418216051154368,1.0180829410187526,0.9753451922002874,0.5994029444694774,0.32275310990146344,0.15899066903740275,0.61,0.670079400006216,320,1,0.7853534805757413,0.8089983172325637,0.0005418216051154368,0.15305117454573497,0.02465480779971263,320,advanced
S3,0,MeABC,0.3597574968562336,0.693238511236527,1.5068411194542999,0.08418461990395004,0.78,0.22,0.12294374310948954,0.9994581783948844,0.0005418216051154368,1.0180829410187526,0.9753451922002874,0.5994029444694774,0.32275310990146344,0.15899066903740275,0.61,0.6475181999849156,320,1,0.7853534805757413,0.8089983172325637,0.0005418216051154368,0.15305117454573497,0.02465480779971263,320,advanced
S3,0,JADE,0.3597574968562336,0.693238511236527,1.5068411194542999,0.08418461990395004,0.78,0.22,0.12294374310948954,0.9994581783948844,0.0005418216051154368,1.0180829410187526,0.9753451922002874,0.5994029444694774,0.32275310990146344,0.15899066903740275,0.61,0.7036350999842398,320,1,0.7853534805757413,0.8089983172325637,0.0005418216051154368,0.15305117454573497,0.02465480779971263,320,advanced
S3,0,LSHADE-lite,0.3597574968562336,0.693238511236527,1.5068411194542999,0.08418461990395004,0.78,0.22,0.12294374310948954,0.9994581783948844,0.0005418216051154368,1.0180829410187526,0.9753451922002874,0.5994029444694774,0.32275310990146344,0.15899066903740275,0.61,0.6428793999948539,320,1,0.7853534805757413,0.8089983172325637,0.0005418216051154368,0.15305117454573497,0.02465480779971263,320,advanced
S3,0,CMAES-lite,0.3597574968562336,0.693238511236527,1.5068411194542999,0.08418461990395004,0.78,0.22,0.12294374310948954,0.9994581783948844,0.0005418216051154368,1.0180829410187526,0.9753451922002874,0.5994029444694774,0.32275310990146344,0.15899066903740275,0.61,0.6817900000023656,320,1,0.7853534805757413,0.8089983172325637,0.0005418216051154368,0.15305117454573497,0.02465480779971263,320,advanced
S3,0,GWO,0.3597574968562336,0.693238511236527,1.5068411194542999,0.08418461990395004,0.78,0.22,0.12294374310948954,0.9994581783948844,0.0005418216051154368,1.0180829410187526,0.9753451922002874,0.5994029444694774,0.32275310990146344,0.15899066903740275,0.61,0.6913969999877736,320,1,0.7853534805757413,0.8089983172325637,0.0005418216051154368,0.15305117454573497,0.02465480779971263,320,advanced
S3,1,RFOTO-ABC,0.32090360191256684,0.7116857970391728,1.4773199180720913,0.08527231173900898,0.77,0.23,0.06968577333049518,0.9978275026428938,0.0021724973571062025,1.0096661524500816,0.9870846050937667,0.7399962832462776,0.42396369724277666,0.11438699622063066,0.7,0.6720200999989174,320,1,0.6974657657244117,0.8380796151340832,0.0021724973571062025,0.07381363801598062,0.01291539490623328,320,advanced
