scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,reference_objective,reference_type,reference_gap_percent
S0-small,3,Delay-Greedy,0.11863936914862759,0.2303188961667991,0.671911443904155,0.04285351604768655,0.8333333333333334,0.16666666666666666,0.009370751252001137,0.9968283483274839,0.0031716516725161883,1.0313000638817822,0.9996030880329602,0.9553193228894534,0.9467684122910132,0.019926604544547147,0.8333333333333334,0.0004211000632494688,1,1,0.27029874808905296,0.3224186458091754,0.0031716516725161883,0.00803207250171526,0.0003969119670398369,0.10728910519457008,best observed: high-budget DE/RFOTO-ABC plus compared runs,10.579139357601756
S0-small,4,RFOTO-ABC,0.06904013822108339,0.2282603786549767,0.33064223143733984,0.015804977238030645,1.0,0.0,0.0,0.9999276900062197,7.230999378019891e-05,1.0154098100814055,0.999999987189223,0.9997403417940285,0.9996938167648917,0.00011318457981073097,1.0,0.197421699995175,600,1,0.21141706219020756,0.10780939168772607,7.230999378019891e-05,0.0,1.2810776994776063e-08,0.06689466518361716,best observed: high-budget DE/RFOTO-ABC plus compared runs,3.2072408637926344
S0-small,4,Standard-ABC,0.06826811181043359,0.22203609191125162,0.28887148705379184,0.01629070878275737,1.0,0.0,0.0,0.9999018713085519,9.812869144800358e-05,1.0147123733233476,0.999999970809122,0.9996193309888061,0.9995330387407168,0.00017085330230486652,1.0,0.15277009992860258,600,1,0.20279084497460204,0.11700513633241183,9.812869144800358e-05,0.0,2.919087804809095e-08,0.06689466518361716,best observed: high-budget DE/RFOTO-ABC plus compared runs,2.0531482189895116
S0-small,4,GA,0.06898053514669879,0.2266937889192385,0.3100063943165707,0.014084041819379362,1.0,0.0,0.0,0.9999371256386023,6.287436139760609e-05,1.0132871763073403,0.999999992533888,0.9998111301831112,0.9998070866640412,8.640650378794933e-05,1.0,0.14260559994727373,600,1,0.21102106651959046,0.10808461683069903,6.287436139760609e-05,0.0,7.46611195090452e-09,0.06689466518361716,best observed: high-budget DE/RFOTO-ABC plus compared runs,3.1181409718640354
S0-small,4,PSO,0.22787082927979335,0.6736920611714535,1.9950997324683404,0.05784508139339258,0.6666666666666666,0.3333333333333333,0.23905514873234446,0.9999522436690153,4.775633098478652e-05,1.0007797470068767,0.9492939213460171,0.544632831477911,0.4431337427447973,0.23111581399801417,0.6666666666666666,0.20206300006248057,600,1,0.5113452608011431,0.392237182996431,4.775633098478652e-05,0.13433389426299408,0.05070607865398291,0.06689466518361716,best observed: high-budget DE/RFOTO-ABC plus compared runs,240.64125839380105
S0-small,4,DE,0.17521103849675143,0.5799997708970569,1.8320407777824839,0.021845800209068008,0.8333333333333334,0.16666666666666666,0.20944250893870076,0.9999522462187914,4.775378120865555e-05,1.0003854317153025,0.9502744823061368,0.5822786771767392,0.4431337427447973,0.22875211753376434,0.8333333333333334,0.17600759991910309,600,1,0.40374198826791324,0.2708456626807619,4.775378120865555e-05,0.10472125446935038,0.04972551769386324,0.06689466518361716,best observed: high-budget DE/RFOTO-ABC plus compared runs,161.9207944547146
S0-small,4,Delay-Greedy,0.07596829110931588,0.2591437680210565,0.41238898668403123,0.015969089989137812,1.0,0.0,0.0,0.9999675912190349,3.240878096501717e-05,1.0080134686757036,0.999999996304116,0.9998695571922634,0.9998325439319894,6.079355264560305e-05,1.0,0.0004259999841451645,1,1,0.22007772440476434,0.13961585131699458,3.240878096501717e-05,0.0,3.6958840432532725e-09,0.06689466518361716,best observed: high-budget DE/RFOTO-ABC plus compared runs,13.56405013881571
S0-small,5,RFOTO-ABC,0.08043014137619015,0.2170324400787577,0.35344967878890954,0.020043416542315583,1.0,0.0,0.0,0.9886226635835956,0.01137733641640426,1.0226633799942255,0.9995544386303797,0.9544247339866528,0.9427174279607781,0.02111302875051888,1.0,0.18172419990878552,600,1,0.23452865655376462,0.12970450499350072,0.01137733641640426,0.0,0.00044556136962026205,0.07762930127123763,best observed: high-budget DE/RFOTO-ABC plus compared runs,3.607967686281694
S0-small,5,Standard-ABC,0.09351973380655125,0.2552542573688261,0.43778800289687003,0.025537930990673665,1.0,0.0,0.0,0.9930197436816565,0.006980256318343629,1.0237393206152574,0.9998393157384944,0.9723477147991387,0.9654159161132522,0.012677148143757108,1.0,0.15460250002797693,600,1,0.28172437834541053,0.1444565687820271,0.006980256318343629,0.0,0.000160684261505617,0.07762930127123763,best observed: high-budget DE/RFOTO-ABC plus compared runs,20.46963231034668
S0-small,5,GA,0.07762930127123763,0.2088296377075122,0.3714028449207574,0.020747617739400474,1.0,0.0,0.0,0.9908859898662027,0.009114010133797368,1.0148268118845047,0.9996997997028788,0.9628824876108635,0.9529488705205686,0.017328890454194067,1.0,0.14037369994912297,600,1,0.22807108299092016,0.12495798968119953,0.009114010133797368,0.0,0.00030020029712118923,0.07762930127123763,best observed: high-budget DE/RFOTO-ABC plus compared runs,0.0
S0-small,5,PSO,0.22149979805061296,0.5372615204580384,1.242507382550744,0.06577208619644587,0.6666666666666666,0.3333333333333333,0.1485581623696439,0.9868974544680156,0.013102545531984422,1.0190231378449912,0.9746874450391495,0.656253129870307,0.6070730103941359,0.1611518538144611,0.6666666666666666,0.13928779994603246,600,1,0.5133721182652308,0.3925648045964838,0.013102545531984422,0.11141862177723291,0.025312554960850497,0.07762930127123763,best observed: high-budget DE/RFOTO-ABC plus compared runs,185.33014522015372
