scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,additional_blockage_probability
S4,7,Standard-ABC,0.6138942021354904,1.5377374593827198,4.157807299404659,0.17458060053214589,0.39,0.61,0.5943994704974375,0.9987570259570069,0.001242974042993008,1.0644389027614418,0.8941473086053693,0.32736735698847946,0.24527050568522785,0.344069689529105,0.33,0.9442521999590099,350,1,1.3292924231917276,0.832123339223652,0.001242974042993008,0.56250438774487,0.10585269139463072,0.0
S4,7,Max-SINR,0.2575110280825789,0.6331062098090716,1.9835563433700594,0.08294215160424162,0.9,0.1,0.0777289803732028,0.9961965458872792,0.0038034541127208756,1.0232333145924803,0.9823580835614087,0.5746627966304378,0.2995970414922582,0.1340102349949848,0.93,0.0015303000109270215,1,1,0.5753703433085751,0.6039775045387259,0.0038034541127208756,0.07865935314517342,0.017641916438591254,0.0
S4,8,RFOTO-ABC,0.2559132691001196,0.5750480733736043,1.4417091900964245,0.0774470751963415,0.92,0.08,0.09262000780195885,0.9982930646018349,0.0017069353981651492,1.0248833003383653,0.9796098745581359,0.7455354668836857,0.28417125618375727,0.14427243829337832,0.83,0.9768506000982597,350,1,0.5558826708839993,0.6397999596031372,0.0017069353981651492,0.07029080617094596,0.020390125441864138,0.0
S4,8,RFOTO-ABC-R,0.2546248890274819,0.5680680513827301,1.4243651993435609,0.07889990155447667,0.92,0.08,0.08316343985791247,0.9974673370666813,0.0025326629333185333,1.0280079615436601,0.9812811285743211,0.7499614186173684,0.28417125618375727,0.13811571855918178,0.84,0.8589996999362484,350,1,0.5526835546186543,0.6487018348344208,0.0025326629333185333,0.06333744738855891,0.01871887142567885,0.0
S4,8,Standard-ABC,0.554860194464567,1.170358748831355,2.986458518600659,0.1375129705483125,0.46,0.54,0.41572864443327306,0.9983155728963179,0.0016844271036820912,1.0472945156890152,0.9202863863919032,0.39833082548908955,0.28417125618375727,0.29430981774353887,0.31,0.9155358000425622,350,1,1.1819409697047092,0.9982876003519919,0.0016844271036820912,0.38935153809455986,0.07971361360809681,0.0
S4,8,Max-SINR,0.2752822985991667,0.5909021267485127,1.5776260073182657,0.07777512184810279,0.89,0.11,0.12038442836892864,0.9963946129155579,0.003605387084442171,1.0260838085569977,0.9760784288442687,0.744681910170064,0.20153749012584224,0.15654979120203164,0.93,0.0019944999366998672,1,1,0.616894406614811,0.6245716704642164,0.003605387084442171,0.09225453314233348,0.023921571155731347,0.0
S4,9,RFOTO-ABC,0.2593421710744282,0.6612893988627248,1.3869893152384865,0.07755027624842051,0.9,0.1,0.07010363729000305,0.9985063002165365,0.0014936997834633925,1.0291476733790592,0.9847732087470497,0.7177550587307656,0.35204423893381653,0.12434722121195535,0.84,0.9226559000089765,350,1,0.5534933005466317,0.680078158600915,0.0014936997834633925,0.06549745401199117,0.015226791252950345,0.0
S4,9,RFOTO-ABC-R,0.254879447195679,0.6516209298264073,1.3856623660778535,0.07492593491075786,0.9,0.1,0.07197940917286828,0.998404952464859,0.0015950475351408377,1.0303048776593577,0.9844118584161295,0.7279678763756284,0.35204423893381653,0.12583711489889188,0.83,0.8714703000150621,350,1,0.5566380612069836,0.6388022933459143,0.0015950475351408377,0.06896942858974886,0.015588141583870452,0.0
S4,9,Standard-ABC,0.6963561541442352,1.4945470374396115,4.061459086862087,0.1674739352492671,0.38,0.62,0.5786292058006383,0.9992226873781999,0.0007773126218001625,1.0628779376411752,0.8961553624072814,0.3391744880457982,0.23784421957908927,0.34040849035990345,0.29,0.9347733000759035,350,1,1.4406007532450607,1.1123534335295189,0.0007773126218001625,0.6144831705610981,0.10384463759271856,0.0
S4,9,Max-SINR,0.23924675455682232,0.6034484651102682,1.3880133948377076,0.06546498030399714,0.92,0.08,0.07466661595729798,0.9983123562142192,0.0016876437857806415,1.0237573191319016,0.9828311323661527,0.7044893603995147,0.35204423893381653,0.13216953856419958,0.93,0.0015085999621078372,1,1,0.5654320750724032,0.5192865088223436,0.0016876437857806415,0.06833160225254703,0.017168867633847285,0.0
S4,10,RFOTO-ABC,0.27106965422935214,0.6203094530308042,1.2652085776808861,0.08299810195476677,0.92,0.08,0.059269184202022845,0.9974313504714357,0.002568649528564243,1.0254945397308601,0.9880156434622942,0.8711391008972473,0.2659653397143386,0.11013502380466993,0.83,0.8580343999201432,350,1,0.6105310160488727,0.5838880070498128,0.002568649528564243,0.11416926309317331,0.011984356537705798,0.0
