suite,scenario,budget,initialization,algorithm,theta,objective_mean,objective_std,violation_rate_mean,violation_rate_std,jain_mean,jain_std,r_hat_mean,r_hat_std,initial_objective_mean,initial_objective_std,initial_to_final_gain_pct_mean,initial_to_final_gain_pct_std,scout_count_mean,scout_count_std,accepted_neighbors_mean,accepted_neighbors_std,runtime_s_mean,runtime_s_std
controlled,S2,320,random,Plain-ABC,0.8,0.5208210475961134,0.04760431679362623,0.454,0.06125013426408485,0.920324773315936,0.01518938113925126,0.003295796956350115,0.0016038409960795672,0.6004136141304357,0.0729697170156679,12.770650702136802,6.658160782247369,0.0,0.0,79.3,8.676040814249687,0.5328749949996563,0.06645827035069952
controlled,S2,320,random,RFOTO-ABC,0.8,0.4557363859518128,0.05845595340789309,0.417,0.05242538557446743,0.9430899694748046,0.016235166557731346,0.003291534316524785,0.0016053685782793966,0.6004136141304357,0.0729697170156679,24.031609439461512,5.495893232169434,0.0,0.0,101.9,13.210442440496996,0.5890662300003896,0.06494104812648523
controlled,S2,1000,greedy,DE-RK,0.8,0.20988005848837074,0.03317566284893183,0.059,0.047892423310230574,0.9917725349641021,0.0085871915325531,0.001318336340175165,0.0006279359903296636,0.20988005848837074,0.03317566284893183,3.835954601979064e-15,1.0559306656933062e-14,-1.0,0.0,-1.0,0.0,1.5103881349994481,0.2042866784313666
controlled,S2,1000,greedy,LSHADE-lite,0.8,0.19445735304249004,0.025970078275236338,0.052000000000000005,0.03693522067506555,0.9938070576939158,0.006317727123989924,0.0015520808647130602,0.0007370618286128681,0.20988005848837074,0.03317566284893183,6.88798026730281,5.610619304820239,-1.0,0.0,-1.0,0.0,1.4902328600004693,0.19576170738489626
controlled,S2,1000,greedy,No-fair-selection,0.8,0.18798525732199142,0.02849423372329045,0.048,0.03636076543690871,0.9943365996038036,0.006359625490343659,0.0014574501869752,0.0007059358466331622,0.20988005848837074,0.03317566284893183,9.994185356473912,7.967806243647036,0.35,0.5871429486123999,217.4,25.313611898905712,1.5974508950002928,0.20479182904027235
controlled,S2,1000,greedy,No-risk-sampling,0.8,0.19226839561173678,0.02844943188380269,0.048,0.032702808506465106,0.9933322257527077,0.006942355469475458,0.001496929940768215,0.0007510527457171683,0.20988005848837074,0.03317566284893183,8.080724513856172,5.856216487135867,0.35,0.5871429486123998,215.85,15.825612152457168,1.6394084200004726,0.20518931609058425
controlled,S2,1000,greedy,Plain-ABC,0.8,0.19347427648312335,0.030502820069067065,0.05500000000000001,0.03886549003665686,0.9919179604472367,0.0074232956833431745,0.001505995467802475,0.0008282258827068977,0.20988005848837074,0.03317566284893183,7.685534072878896,5.073372179464147,0.2,0.5231483637805969,190.3,12.519878929967838,1.4692586649998702,0.19893159420420792
controlled,S2,1000,greedy,RFOTO-ABC,0.8,0.18808162474781848,0.02856884366106695,0.047,0.03510885328442626,0.994342039481413,0.006328277021134704,0.0014574383310831701,0.0008433796387754235,0.20988005848837074,0.03317566284893183,10.006080107903799,7.5038138137770005,0.35,0.5871429486123998,218.3,26.386001073136846,1.5839823950005667,0.21184259801450575
controlled,S2,1000,greedy,Random-scout,0.8,0.18800040333889056,0.028806819176897595,0.049,0.0358211933739908,0.9943413430025391,0.006329527061450985,0.00145931038619385,0.0008419556578920486,0.20988005848837074,0.03317566284893183,10.059426096280422,7.480324372143212,0.3,0.47016234598162726,218.8,26.08205674808883,1.5855015950000961,0.21346211215592337
controlled,S2,1000,greedy,Uniform-allocation,0.8,0.17429103486471204,0.028044957217931266,0.033,0.02696976865033572,0.9941716650434878,0.006290708029862749,0.001873698951847725,0.0010616763767492688,0.17907418978354658,0.02856800761590853,2.5873240554114774,4.006973064183412,3.1,0.8522416262267903,185.55,19.489470841564955,1.1037933699997666,0.12567493888383297
controlled,S2,1000,random,DE-RK,0.8,0.5325632528378136,0.047331143061124833,0.532,0.0675589411278462,0.9200357434691288,0.011650475586892065,0.003155707949724975,0.0015747859056484768,0.6004136141304357,0.0729697170156679,10.733529428767259,7.424378542136908,-1.0,0.0,-1.0,0.0,1.7266646449999825,0.2141917925173489
